instance,heuristic,n_runs,cut_best,cut_worst,cut_mean,cut_stdev,time_mean_ms,time_stdev_ms,nfe_mean,generations_mean
g05_60.1.txt,balancer,5,532,520,528.40,4.98,54.328,0.316,50000.0,510.0
g05_60.1.txt,none,5,528,521,524.40,3.29,54.265,0.521,50000.0,510.0
g05_60.1.txt,greedy,5,530,524,526.40,2.51,54.932,0.247,50000.0,510.0
g05_60.1.txt,ranked_mut,5,531,519,526.00,4.42,54.127,0.238,50000.0,510.0
g05_80.1.txt,balancer,5,941,911,926.80,13.16,76.662,0.394,50000.0,510.0
g05_80.1.txt,none,5,941,919,933.80,8.87,76.499,0.382,50000.0,510.0
g05_80.1.txt,greedy,5,922,909,914.60,5.03,77.483,0.323,50000.0,510.0
g05_80.1.txt,ranked_mut,5,941,907,931.60,14.17,77.704,2.490,50000.0,510.0
pm1d_100.9.txt,all,10,391,341,366.20,16.23,146.763,0.347,50000.0,510.0
pm1d_100.9.txt,balancer,5,390,354,372.60,12.76,146.867,0.492,50000.0,510.0
pm1d_100.9.txt,none,5,405,361,372.20,18.51,145.717,0.835,50000.0,510.0
pm1d_100.9.txt,greedy,5,399,368,383.60,12.93,146.477,0.797,50000.0,510.0
pm1d_100.9.txt,ranked_mut,5,396,353,372.60,17.44,145.901,0.253,50000.0,510.0
pm1s_100.1.txt,balancer,5,126,111,119.20,5.40,69.602,0.505,50000.0,510.0
pm1s_100.1.txt,none,5,125,113,117.00,5.34,69.461,0.262,50000.0,510.0
pm1s_100.1.txt,greedy,5,121,114,115.80,3.03,70.117,0.433,50000.0,510.0
pm1s_100.1.txt,ranked_mut,5,123,118,120.80,2.17,69.208,0.286,50000.0,510.0
pw09_100.9.txt,all,10,13553,13425,13508.70,43.57,139.650,0.579,50000.0,510.0
pw09_100.9.txt,balancer,5,13638,13508,13589.60,56.15,137.624,0.197,50000.0,510.0
pw09_100.9.txt,none,5,13537,13475,13506.40,21.95,139.624,2.132,50000.0,510.0
pw09_100.9.txt,greedy,5,13605,13499,13549.80,49.33,138.553,0.384,50000.0,510.0
pw09_100.9.txt,ranked_mut,5,13645,13544,13586.00,51.73,137.890,0.310,50000.0,510.0
t2g10_5555.txt,balancer,5,5716790,5399059,5592813.00,124511.44,64.959,0.195,50000.0,510.0
t2g10_5555.txt,none,5,5805278,5464455,5640740.40,129519.58,64.560,0.285,50000.0,510.0
t2g10_5555.txt,greedy,5,5781807,5359351,5596272.20,187057.95,65.460,0.186,50000.0,510.0
t2g10_5555.txt,ranked_mut,5,5703835,5029314,5440968.40,264285.12,64.980,0.231,50000.0,510.0
t2g10_6666.txt,balancer,5,5457543,5055871,5252944.40,179215.01,65.963,1.743,50000.0,510.0
t2g10_6666.txt,none,5,5371427,4898175,5089528.40,179088.44,64.557,0.297,50000.0,510.0
t2g10_6666.txt,greedy,5,5373699,5138765,5295447.40,91005.34,65.263,0.281,50000.0,510.0
t2g10_6666.txt,ranked_mut,5,5421665,4900166,5130520.20,198294.89,64.428,0.401,50000.0,510.0
w01_100.1.txt,balancer,5,711,633,681.40,34.17,71.362,1.119,50000.0,510.0
w01_100.1.txt,none,5,719,630,671.80,33.44,70.298,0.314,50000.0,510.0
w01_100.1.txt,greedy,5,717,655,676.60,26.56,70.120,0.362,50000.0,510.0
w01_100.1.txt,ranked_mut,5,688,636,663.60,20.89,69.995,0.328,50000.0,510.0
w09_100.9.txt,all,10,1971,1794,1884.70,55.81,139.652,0.741,50000.0,510.0
w09_100.9.txt,balancer,5,1980,1801,1891.60,79.27,141.970,0.245,50000.0,510.0
w09_100.9.txt,none,5,1983,1813,1890.80,70.51,138.542,0.573,50000.0,510.0
w09_100.9.txt,greedy,5,1941,1865,1900.80,35.61,139.289,0.336,50000.0,510.0
w09_100.9.txt,ranked_mut,5,1989,1808,1870.20,69.46,138.272,0.264,50000.0,510.0
